mean_x_ne_L,lower_quartile_x_ne_L,upper_quartile_x_ne_L,mean_x_hat_L,lower_quartile_x_hat_L,upper_quartile_x_hat_L
0.9605083168075614,0.8542529202234765,0.9960535304750733,0.527125975847688,0.40617858551356334,0.6353861626934956
0.9556438704384775,0.8499776530815255,0.9909770141313897,0.5251358060903957,0.4056990016931225,0.633377812131318
0.9507884490545266,0.8457011860243144,0.9858786962361812,0.5231488517989319,0.4049098803443221,0.6313714393051365
0.9459420148019415,0.8414345065757505,0.9807799702277884,0.5211650944420699,0.40489883315874436,0.6293670463222412
0.9411045292620894,0.837177651323423,0.9757397283988785,0.5196105679886385,0.40346907621029593,0.627364635273965
0.9362759699341991,0.8329306561498407,0.9707796041632208,0.5184501003938871,0.4003431511269208,0.6253642082356888
0.9314565019234686,0.8286935566464351,0.965829398853997,0.5172866272677153,0.39834155653878756,0.6233657672668453
0.9266460609224355,0.824743427964943,0.9608890923154049,0.5161201659903405,0.3967259761207528,0.6213693144109244
0.9218444963089041,0.8209139689556547,0.9559497305839572,0.5153661028870133,0.39478682111169056,0.6193748516954785
0.9170517761783059,0.8170926726808225,0.9510061389302135,0.5146392726043925,0.3934536201888029,0.6165718453888767
0.9122678686369868,0.8132795380794827,0.9460703678445787,0.5136305983097641,0.39212308566776094,0.6123393812862475
0.9075035767713764,0.8094745636467233,0.941142263611807,0.510218630022541,0.3907952122157612,0.6081136606230781
0.90241086922804,0.8056777474158546,0.9362216662574999,0.5087263409846565,0.3894699945106653,0.60389469336637
0.897209475654444,0.8018890869373744,0.9312590792908257,0.5069908593151894,0.38814742724097967,0.5996824941136892
0.8920111084528688,0.7981085792575338,0.9262839954777051,0.5044425927606483,0.38649727320376304,0.5951769862422776
0.8868159488832379,0.793845981956262,0.9213104068113199,0.5014790013708688,0.3857203735015778,0.592074533638594
0.8816241830606826,0.7890992297554373,0.9163377952932448,0.49848447271175744,0.3847710201564528,0.5892227650226036
0.8764515014930101,0.7843620577431825,0.9113698667721115,0.49501475629808517,0.3839856124561591,0.5863728858479693
0.8718128870205049,0.7796345029547153,0.9065126758115338,0.4923463652770934,0.3834212842621782,0.5835249052245643
0.8671829920405882,0.7749166015228954,0.9016844208316646,0.4900485303339417,0.3837932493424063,0.5806788322066245
0.8625617843698522,0.7702253562293746,0.8968710090721186,0.4877552910606763,0.38436982440549905,0.577834675792925
0.8579492321149972,0.7657099311435156,0.8920672189278024,0.4854666382659574,0.384933734456903,0.5749924449269567
0.8533453036982785,0.7612025865423628,0.8872730313656022,0.4831825627768279,0.3854849914698798,0.5717204276817991
0.8487499678829501,0.7571217007895261,0.8824884256106709,0.4810144764107003,0.38602360780255535,0.5685316231346679
0.8441631937986682,0.7532907800239294,0.8777133816063459,0.47972879948391717,0.3846221714199643,0.5666058995040907
0.8395849509668241,0.749831297473284,0.872947879235811,0.4784456939109877,0.38135050045710434,0.5646827899774909
0.8350152093258782,0.7463761050447703,0.8681918983132708,0.47716515454920405,0.37913432124685686,0.5627622935237455
0.8304539392562376,0.7429251644589518,0.86344541857456,0.4761384560053219,0.3789096944266652,0.5606113665266536
0.8259912221100782,0.7394784375445005,0.8587084196671635,0.47554806580137315,0.3786968838672692,0.558389509683598
0.8217132535401499,0.7360358862872343,0.853980881139629,0.4749502501198527,0.3784756747738386,0.5561684346683273
0.8174437962549657,0.7325974728391774,0.8492627824303527,0.47386935066782665,0.37824609232786754,0.5539481523612854
0.8131828199627438,0.7281159489512758,0.8445541028557172,0.4722473575762761,0.3778749366898589,0.5517286735845356
0.8089302985931401,0.7234101743998138,0.8398548215975632,0.4706274695833056,0.376788193204501,0.5495100091019448
0.8046862057595541,0.7187132897830387,0.8351649176899788,0.4690096866569699,0.3757035771838109,0.5472921696193676
0.8003936593769058,0.7140252448438,0.8304843700053852,0.4676724415676098,0.3746210819926532,0.5450751657848316
0.7959479422163527,0.7100278448989857,0.8258032356405904,0.46641476837461615,0.3735407009211242,0.5428590081887202
0.791510445924936,0.70573150275271,0.8210816081047121,0.4651596105280086,0.37246242718315775,0.5406437073639576
0.7870811328274354,0.701409746953381,0.8163663400979213,0.46390696299709416,0.37138625391518354,0.5384292737861918
0.7826599637530927,0.6975322011724041,0.8116327803666203,0.4626568207612416,0.37031217417484047,0.536564725474869
0.7782468978727166,0.694061665720379,0.8068402181293652,0.46140917880986076,0.3692401809397514,0.5342185813055378
0.7738418925216403,0.6906011199200661,0.8022157572001689,0.46016403214238266,0.3681910513014214,0.5318098144164278
0.7694449030076096,0.687150541428198,0.797600545192751,0.45892137576823944,0.3669009649424959,0.5285807478603027
0.7650558824026603,0.6837099078819079,0.7929945636092383,0.45680033106281376,0.36603664881804426,0.5289303242677297
0.7606747813179935,0.6803014416581756,0.7883977939887432,0.45528125937406555,0.3649729297406186,0.5280752544993492
0.7563015476608339,0.6769107581194269,0.7838102179072864,0.45469579283860107,0.36410540281844006,0.526498795597897
0.7519361263722171,0.6735299046746821,0.7792218108812623,0.45348314817175195,0.36326988725142884,0.5286660312022554
0.7475784591446235,0.6702347314151511,0.7744775152108974,0.45227292879423664,0.3624847259656174,0.5278655593831894
0.743228484118345,0.6671737742163,0.769733134440653,0.4510651298554764,0.360790539040962,0.5266176898813302
0.7388909429162438,0.6641185000499251,0.7651663349506183,0.4498597465145936,0.3599635133115754,0.5248909774519834
0.7345613035357854,0.6610688990488526,0.7606087620805733,0.44805897135189776,0.35913810982451844,0.52372105126224
0.7302393839464915,0.657529967015274,0.7560595144800953,0.4465266327824311,0.35831432402227176,0.5221327684507793
