mean_x_ne_L,lower_quartile_x_ne_L,upper_quartile_x_ne_L,mean_x_hat_L,lower_quartile_x_hat_L,upper_quartile_x_hat_L
0.9605083168075614,0.8542529202234765,0.9960535304750733,0.5351119914745297,0.4411108021780702,0.6460152779468505
0.953697862332562,0.8482635384616376,0.9889349643646961,0.5331075763503017,0.4383469176719067,0.6426989938696805
0.9468996320574266,0.8422775656152403,0.9817886226417774,0.5311071700563224,0.43373127063077377,0.6388812739074463
0.9401135437545256,0.8363060824579492,0.974721779562291,0.5291107645749309,0.42912485488372293,0.6339732744836604
0.9333396372614365,0.8303492175816516,0.9677636887368761,0.5271183519045022,0.42624664540937285,0.6278226325790585
0.9265781456923647,0.8246894603009677,0.9608195111105629,0.5251299240594143,0.4238520481448287,0.6224625839670388
0.9198287255534473,0.8193068783600728,0.9538710020718154,0.5233926663991448,0.4221344917831663,0.6195041336225457
0.9130912920746834,0.8139360718790687,0.9469204465467278,0.5214202529251167,0.42058703475523856,0.6165489739511307
0.9063902743839741,0.8085770607621457,0.9399794742399787,0.5191884698593537,0.41651779217584445,0.6135971065810302
0.8990564260747083,0.8032298632347952,0.9330220936744293,0.5172159017783562,0.411167306312782,0.6106485331181006
0.8917224728636302,0.7978944957149915,0.9260028419520898,0.5152472788335206,0.4058273348381977,0.6077032551458572
0.8843889149049224,0.791620286221022,0.9189807472052709,0.5132825931345748,0.4034199486140704,0.6047612742255136
0.8770562740917969,0.7849215398705214,0.9119543221356264,0.5113218368070267,0.40258583470940423,0.6018225918960222
0.8704405167094454,0.7782364658395192,0.9050776972389081,0.5093650019921339,0.40173617718004906,0.5978793193011815
0.8638930640649916,0.7715651936940424,0.8982574897546898,0.5074120808468707,0.40087100310582485,0.5938295427973797
0.8573575395587502,0.7651311567471981,0.8914509126692095,0.5054630655438982,0.3999903400854889,0.5903643879954048
0.8508338768589279,0.7588678440035768,0.8846579379276138,0.5035179482715315,0.3990942162480928,0.5852711448059756
0.8443220107258906,0.7534122370703292,0.8778785349633529,0.5015767212337097,0.3984707723755408,0.5797492040684925
0.8378218771669633,0.7484974900611907,0.8711126738407176,0.4996393766499634,0.3980901231062471,0.5741706025900855
0.8313334135926345,0.7435896758497748,0.8643603242290329,0.49696190130448425,0.3967340447732141,0.5706660139901687
0.8250076281135293,0.7386862553043413,0.8576214553441663,0.4940803163144745,0.39463590888604255,0.5685378080891239
0.818921750342018,0.733787125307158,0.8508960358843783,0.4914669139829009,0.3925360964975373,0.5660351223388644
0.8128479372630759,0.7277454798392957,0.8441840339601805,0.4895668005187559,0.39043460903813165,0.5624239914707241
0.8067861341013054,0.7210374158020526,0.8374854170178696,0.4868660632474132,0.38833144815327214,0.5590180620752017
0.8006942963546801,0.7143416746329414,0.8308001517564056,0.4843251699611628,0.3865252485996464,0.556782805625853
0.7943443025086243,0.7086397446061601,0.8240979191520946,0.4830692840722226,0.385542844620464,0.5535388951788386
0.788005623895915,0.7022931385123992,0.8173515337024645,0.48214241964176774,0.38454476495079937,0.5485319396973581
0.7816781707892406,0.6967670667171235,0.8105596112505038,0.4810235456178318,0.38353103856714243,0.5430140015767089
0.7753618462115202,0.6918023525610476,0.8038111613091655,0.47918207276440633,0.3826643847944826,0.5406044318270532
0.7690565448053168,0.6868538247309387,0.797192758493422,0.47730840181019735,0.38494175733021807,0.5391833465733491
0.7627621515553387,0.6819293252783367,0.7905875924830762,0.47522123568656194,0.38974900456270944,0.5370408404906256
0.756478540349373,0.6770564151426047,0.7839956368043866,0.47248489143466216,0.38723941464438205,0.5341133913351233
0.7502055723620393,0.6721995446970352,0.7773700131786447,0.4697523288016616,0.38472829750988696,0.5302645433874478
0.7439430942447968,0.6676748455443147,0.7704848285828872,0.4670235464776382,0.3822156593581253,0.5263915862648242
0.7376971288486904,0.6632757975172193,0.763909744523501,0.467996107498763,0.3808709472428982,0.5224023961126647
0.7314626878733437,0.6587167242475912,0.7573472529677415,0.4661448084750853,0.3796022952439273,0.5195587818965157
0.7250053297864931,0.6526761638389214,0.7507962078585185,0.46318318802488756,0.3783183317571149,0.5169690406406503
0.7181366835531766,0.6466424006185945,0.7442565025498027,0.45955700090550083,0.37884369224848674,0.514200712713069
0.7113787300759531,0.6406153836929044,0.737728028750638,0.4560937238045582,0.3761366437779739,0.5115261389720939
0.704775836921816,0.6352394215750774,0.7312106766280833,0.4528938296238828,0.3726711778850536,0.5086394148712433
0.6981981256091079,0.6304484154023817,0.7247270017383919,0.4515591094307168,0.3692151882633892,0.5061859906576776
0.6918705722461423,0.6251551401888448,0.718319119876774,0.4478763519579004,0.36664928271032793,0.5037916686633382
0.6855437798526228,0.6186659318306582,0.7119172314676947,0.44407080956693207,0.3641006454428814,0.5014021353129876
0.6792171755907479,0.6127256813407901,0.7055204235887496,0.4423705530585775,0.3615602064490203,0.4990173810293377
0.6728901715377812,0.6068007119734933,0.6991276832519453,0.4412526966868393,0.35902812897324776,0.49620814493099696
0.6665621649389037,0.601037860048533,0.6927391210919789,0.4395268538168183,0.3572812350747675,0.4925725179034782
0.6602325385866386,0.5961268452403303,0.6863555405039536,0.43843999066913264,0.3557336663588472,0.4902448791286784
0.6539006610219749,0.5912247445155754,0.679973547845293,0.43758452596492353,0.3541904603075533,0.48792189563142824
0.6475658870285932,0.5863530860637164,0.673591869320014,0.4368228464200383,0.3526516642860388,0.4855128146904297
0.6412275579903501,0.5820954190368316,0.6672091134773355,0.4346088146486793,0.35125134715260903,0.48293942714352406
